ID,Pages,Views,Title,Summary
599760490,8,201,DETAILED LESSON PLAN English II,"DETAILED LESSON PLAN English II  This document contains a detailed lesson plan for a 50-minute English lesson on declarative sentences for 6th grade students. The objectives are for students to be able to identify, appreciate the function of, and construct declarative sentences. The lesson contains preliminary activities like an attendance check and introduction of objectives. It then motivates students with an action song before reviewing sight words. The main activity has students match pictures to practice declarative sentences. Finally, the teacher analyzes the activity to connect it to the lesson topic. It then motivates students with an action song before reviewing"
395558547,2,432,English Lesson Plan Story,"English Lesson Plan Story  This lesson plan is for a Grade 5 English class about the story ""Abdullah and his greed"". The learning outcome is for students to make connections between the story and their own experiences with greed. The teacher will do a shared reading of the story, asking questions about unfamiliar words and the plot. Students will then independently write a reflection about a time they felt greedy, and how it impacted them. Their writing will be assessed to see if they can make connections between the story's message and their own lives."
518365874,2,49,Lesson Plan English 2019,"Lesson Plan English 2019  This lesson plan aims to teach students how to compose clear sentences using prepositions and prepositional phrases. The lesson will include drilling sample sentences, identifying prepositions, presenting pictures for students to create sentences from, group activities to write sentences using given pictures, and an evaluation where students write sentences using specific prepositions and prepositional phrases. The goal is for students to understand and demonstrate the proper use of prepositions and prepositional phrases in writing clear English sentences. The goal is for students to understand and demonstrate the proper use of prepositions and prepositional"
272683098,10,2K,English Language Daily Lesson Plan,"English Language Daily Lesson Plan  This document contains a daily lesson plan for an English class. The lesson plan is for Year 1 students and focuses on listening, speaking, reading and writing skills. On Tuesdays and Wednesdays, the lesson plan is for 7:15-8:45 AM and focuses on listening and speaking, with activities like recognizing words, reading passages, and coloring flags. On Thursdays from 9:15-9:45 AM, students will read storybooks of their choice and discuss what they read. The lesson plans also include teaching aids, objectives, and reflections. On Thursdays from 9:15-9:45 AM,"
563386026,17,168,A Detailed Lesson Plan in English,"A Detailed Lesson Plan in English  This document provides a detailed lesson plan for an 8th grade English class on the short story ""The Three Princes"". The objectives are for students to arrange the plot chronologically, identify the theme and moral, and appreciate the story through various creative activities. The plan outlines preliminary activities like greetings, attendance, and setting class standards. The main activity involves dividing students into kingdoms where they will participate in a simulated auction and solve riddles to unlock the story. The goal is for students to engage with and understand the story. The plan outlines preliminary activities like greetings, attendance, and setting class"
435954456,4,66,Example English Form 4 Lesson Plan (Writing),"Example English Form 4 Lesson Plan (Writing)  1) The lesson plan is for a 1-hour English writing lesson focusing on creating personal profiles for a Padlet page. 2) Students will discuss and comment on a sample teacher profile, then plan and draft their own profiles with categories and sentences based on their achievement level. 3) Students will provide feedback and suggestions on each other's drafts by commenting, and then edit and repost their improved profiles incorporating the feedback. The goal is for students to practice writing, editing, and improving their spelling of high frequency words. 3) Students will provide feedback and suggestions"
193234005,2,525,Lesson Plan in English VI,"Lesson Plan in English VI  The lesson plan aims to teach pupils about identifying cause and effect through reading about water pollution. It involves showing pictures of water pollution, discussing causes of local water pollution, reading an article on reasons for and effects of water pollution, and discussing follow-up questions. The lesson also includes reading a short story called ""Sarimanok"" to identify causes through why-questions, and evaluating causes of situations in pictures."
420916849,5,595,A Detailed Lesson Plan in English For Grade VIII,"A Detailed Lesson Plan in English For Grade VIII  The lesson plan teaches students the Dewey Decimal Classification system to organize books in a library. It begins with objectives, references, and materials. The procedure includes preliminaries, motivation with a game, and a presentation on the Dewey system and its main classes. Students then practice classifying titles and determine numbers. They are evaluated on classifying questions about famous people, processes, sciences, and more. The assignment is to research the Library of Congress system. They are evaluated on classifying questions about famous people, processes, sciences,"
685344529,4,28,Lesson Plan,"Lesson Plan  This document provides a semi-detailed English lesson plan on paraphrasing. The objectives are to define paraphrasing, identify strategies for writing paraphrases, and apply strategies by writing paraphrases. The lesson discusses what paraphrasing is, how to identify it, and steps to paraphrase a text, including maintaining the original meaning. Students practice paraphrasing sentences and words. The lesson is evaluated through additional paraphrasing exercises to solidify the skills."
348598588,2,234,Lesson Plan English Year 2 KSSR,"Lesson Plan English Year 2 KSSR  This lesson plan is for an English class for Year 2 students. The theme is ""World of Self, Family and Friends"" and the topic is ""Do the Right Thing"". The learning objective is for students to design a poster of classroom rules. The activities include discussing existing rules and designing one new rule as a class before students individually create their own posters to place around the classroom."
481905666,21,127,As English Lang Lesson Plan,As English Lang Lesson Plan  As English Lang Lesson Plan
293091937,3,3K,Halloween B1 B2 Lesson Plan,Halloween B1 B2 Lesson Plan  plan de lectie engleza Halloween B1 B2 Lesson Plan  plan de lectie engleza
395313515,4,903,9th Grade English Lesson Plan,"9th Grade English Lesson Plan  This 15-20 minute lesson plan for 9th grade English teaches students about Greek, Roman, and Norse mythology. It will introduce the concept of mythology, discuss the similarities and differences between Greek and Roman mythology and their gods and goddesses, introduce Norse mythology and its gods, and have students complete a quiz matching gods to their correct mythology. Materials needed include a mythology textbook, projector, PowerPoint, internet, and copies of a quiz and answer sheet. Materials needed include a mythology textbook, projector, PowerPoint, internet, and copies"
701987481,3,19,Lesson Plan in English 3,"Lesson Plan in English 3  The lesson plan teaches students about phrases and sentences. It includes objectives, materials, and procedures for teaching the difference between phrases and sentences. Students will read a short story, discuss phrases and sentences, sort examples, and complete assessment activities to practice creating their own phrases and sentences."
243970591,10,168,At34J Ijazah Sarjana Muda Pendidikan (Sekolah Rendah) Dengan Kepujian,"At34J Ijazah Sarjana Muda Pendidikan (Sekolah Rendah) Dengan Kepujian  1. The document is a lesson plan for a Year 5 English class about animals, focusing on African elephants. 2. The lesson plan includes introducing the topic through a video, reading comprehension activities like questions and rearranging sentences, and worksheets on crosswords and puzzles to reinforce vocabulary. 3. The teacher reflects on keeping students engaged through exciting lessons, clear instructions, and higher-order thinking questions in future lessons."
433219684,3,72,Lesson Plan Year 1 and Year 2,"Lesson Plan Year 1 and Year 2  This document contains 3 daily lesson plans for Tuesday, April 17, 2018. The first lesson plan is for a Year 2 English class from 8:45-9:45 AM focusing on vocabulary for clothing. The second lesson plan is for a Year 1 English class from 10:45-11:45 AM focusing on imperative verbs. The third lesson plan repeats the Year 2 English class from 7:45-8:45 AM. Each lesson plan details the learning objectives, teaching methods, and reflections on student achievement of objectives. The third lesson plan repeats the Year 2 English class from"
297614597,9,282,Lesson Plan in English,"Lesson Plan in English  The lesson plan teaches about the degrees of comparison of adjectives - positive, comparative, and superlative. The teacher uses examples with three puppet friends to demonstrate how adjectives are changed by adding ""-er"" or ""-est"" or using ""more"" and ""most"". Students practice identifying and forming comparative and superlative adjectives. The lesson emphasizes being content with oneself rather than comparing to others."
729500734,8,42,Detailed Lesson Plan in English I,"Detailed Lesson Plan in English I  The document details an English lesson plan for grade one students. It outlines objectives, content, procedures and activities to teach students about verbs, pronouns and prepositions through a story about children cleaning their house on a Saturday. The lesson involves spelling, singing, storytelling and group activities to reinforce the grammar concepts."
644826322,3,91,Lesson Plan in English,"Lesson Plan in English  1) The document is a daily lesson log from an English class in the Philippines. The lesson focuses on analyzing the story of Makato and the Cowrie Shell. 2) The teacher leads various activities to introduce elements of the story like setting, plot, conflict and character. Students then watch and discuss the story. 3) The story is about an orphan boy named Makato who leaves his hometown to seek his fortune in another kingdom. He is given a magical cowrie shell by the king that allows him to prosper. 3) The"
500042504,7,98,Detailed Lesson Plan English,Detailed Lesson Plan English  The lesson plan introduces students to proper and common nouns. It reviews nouns in general before focusing on the differences between proper and common nouns. Students are given examples to identify. They then practice distinguishing and correctly capitalizing nouns. The lesson concludes with students matching proper nouns to their common noun counterparts. The overall goal is for students to understand and appreciate the use of proper and common nouns. About Legal
